Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #2,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #3,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4,Run #4,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5,Run #5,Run #5,Run #5,Run #5,Run #6,Run #6,Run #6,Run #6,Run #6,Run #6,Run #6,Run #7,Run #7,Run #7,Run #7,Run #7,Run #7,Run #7,Run #8,Run #8,Run #8,Run #8,Run #8,Run #8,Run #8,Run #9,Run #9,Run #9,Run #9,Run #9,Run #9,Run #9,Run #10,Run #10,Run #10,Run #10,Run #10,Run #10,Run #10,Run #11,Run #11,Run #11,Run #11,Run #11,Run #11,Run #11,Run #12,Run #12,Run #12,Run #12,Run #12,Run #12,Run #12
Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²)
0,0,,,0,,,0,0,,,0,,,0,0.052,,,0.0012,,,0,0,,,0,0.021,1.042,0,0,,,0,,,0,0,,,0,,,0,0,,,0,,,0,0,,,0,,,0,0,,,0,,,0,0,,,0,,,0,0.017,,,4.17E-04,,,0,0,,,0,,
0.01,0,0,,0,0,,0.01,0,0,,0,0,,0.01,0.122,6.981,,0.0029,0.167,,0.01,0,0,,4.17E-04,0.021,1.042,0.01,0,0,,0,0,,0.01,0,0,,0,0,,0.01,0,0,,0,0,,0.01,0,0,,0,0,,0.01,0,0,,0,0,,0.01,0,0,,0,0,,0.01,0.052,2.618,,0.0012,0.062,,0.01,0,0,,0,0,
0.02,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.02,0.192,7.854,43.633,0.0046,0.188,1.042,0.02,0,0,0,4.17E-04,0.021,-2.78E-15,0.02,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.02,0,0,43.633,0,0,1.042,0.02,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.02,0.07,2.618,43.633,0.0017,0.062,1.042,0.02,0,0,0,0,0,0
0.03,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0.03,0.279,7.854,43.633,0.0067,0.187,1.042,0.03,0,0,0,8.33E-04,0.021,0,0.03,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0.03,0,0.873,43.633,0,0.021,1.042,0.03,0,0,43.633,0,0,1.042,0.03,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0.03,0.105,3.491,43.633,0.0025,0.083,1.042,0.03,0,0,0,0,0,0
0.04,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0.04,0.349,8.727,87.266,0.0083,0.208,2.083,0.04,0,0,0,8.33E-04,0.021,-3.47E-16,0.04,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0.04,0.017,0.873,1.11E-14,4.17E-04,0.021,1.74E-16,0.04,0,0.873,43.633,0,0.021,1.042,0.04,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0.04,0.14,3.491,6.66E-14,0.0033,0.083,-6.94E-16,0.04,0,0,0,0,0,0
0.05,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.05,0.454,9.599,1.78E-13,0.0108,0.229,4.16E-15,0.05,0,0,0,0.0012,0.042,1.042,0.05,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.05,0.017,0.873,43.633,4.17E-04,0.021,1.042,0.05,0.017,0.873,-43.633,4.17E-04,0.021,-1.042,0.05,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.05,0.175,3.491,6.66E-14,0.0042,0.083,-2.08E-15,0.05,0,0,0,0,0,0
0.06,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0.06,0.541,8.727,-4.44E-13,0.0129,0.208,-8.33E-15,0.06,0,0,0,0.0017,0.042,1.042,0.06,0,0,43.633,0,0,1.042,0.06,0,0,0,0,0,0,0.06,0.035,1.745,43.633,8.33E-04,0.042,1.042,0.06,0.017,0,-43.633,4.17E-04,0,-1.042,0.06,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0.06,0.209,3.491,43.633,0.005,0.083,1.042,0.06,0,0,0,0,0,0
0.07,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0.07,0.628,9.599,87.266,0.015,0.229,2.083,0.07,0,0,0,0.0021,0.042,5.20E-15,0.07,0,0.873,43.633,0,0.021,1.042,0.07,0,0,0,0,0,0,0.07,0.052,1.745,-43.633,0.0012,0.042,-1.042,0.07,0.017,0,43.633,4.17E-04,0,1.042,0.07,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0.07,0.244,4.363,43.633,0.0058,0.104,1.042,0.07,0,0,0,0,0,0
0.08,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0.08,0.733,10.472,43.633,0.0175,0.25,1.042,0.08,0,0,0,0.0025,0.042,-6.94E-15,0.08,0.017,0.873,-43.633,4.17E-04,0.021,-1.042,0.08,0,0,0,0,0,0,0.08,0.07,0.873,-43.633,0.0017,0.021,-1.042,0.08,0.017,0.873,43.633,4.17E-04,0.021,1.042,0.08,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0.08,0.297,4.363,-43.633,0.0071,0.104,-1.042,0.08,0,0,0,0,0,0
