Run #1,Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5,Run #5,Run #6,Run #6,Run #6,Run #6,Run #7,Run #7,Run #7,Run #7,Run #8,Run #8,Run #8,Run #8,Run #9,Run #9,Run #9,Run #9,Run #10,Run #10,Run #10,Run #10,Run #11,Run #11,Run #11,Run #11
Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²)
0,0,,,0,0,,,0,0.216,,,0,0.242,,,0,0.232,,,0,0.232,,,0,0.23,,,0,0.224,,,0,0.224,,,0,0.237,,,0,0.221,,
0.01,0.227,11.33,,0.01,0,73.08,,0.01,0.216,0.01,,0.01,0.242,-0.01,,0.01,0.232,-0.01,,0.01,0.232,0,,0.01,0.23,0,,0.01,0.224,0,,0.01,0.224,0.01,,0.01,0.237,-0.01,,0.01,0.221,-5.52E-04,
0.02,0.227,0.04,-566.8,0.02,1.462,0,-7308.4,0.02,0.216,0,-0.4,0.02,0.242,-6.05E-04,0.9,0.02,0.232,-5.79E-04,0.9,0.02,0.232,0,0,0.02,0.23,0,0,0.02,0.224,0,0,0.02,0.224,5.61E-04,-0.9,0.02,0.237,0,0.5,0.02,0.221,0.01,0.1
0.03,0.227,0,0.2,0.03,0,-73.08,3656.8,0.03,0.216,5.40E-04,-0.4,0.03,0.242,0.01,0.1,0.03,0.232,0.01,0,0.03,0.232,0,0,0.03,0.23,0,0,0.03,0.224,0,0,0.03,0.224,-0.01,0,0.03,0.237,0,0,0.03,0.221,5.52E-04,-0.9
0.04,0.227,0.04,3.8,0.04,0,73.14,3654.2,0.04,0.216,-0.01,-0.5,0.04,0.242,6.05E-04,-0.9,0.04,0.232,0,-0.4,0.04,0.232,-5.79E-04,0.5,0.04,0.23,0,0,0.04,0.224,0,0,0.04,0.224,0,0.5,0.04,0.237,0,0,0.04,0.221,-0.01,-0.5
0.05,0.228,0.07,-2.1,0.05,1.463,0,-7313.6,0.05,0.216,-0.01,0.4,0.05,0.242,-0.01,-0.5,0.05,0.232,5.79E-04,-0.4,0.05,0.232,0.01,0.1,0.05,0.23,0,0,0.05,0.224,0,0,0.05,0.224,0,0,0.05,0.237,-5.92E-04,0.5,0.05,0.221,-0.01,0.4
0.06,0.228,-5.70E-04,-3.2,0.06,0,-73.14,3657.7,0.06,0.216,-5.39E-04,0.9,0.06,0.242,-0.01,0.4,0.06,0.232,-0.01,-0.5,0.06,0.232,5.79E-04,-0.9,0.06,0.23,0,0,0.06,0.224,0,0,0.06,0.224,0,0,0.06,0.237,0.01,0.1,0.06,0.221,-5.52E-04,0.9
0.07,0.228,0.01,0.5,0.07,0,73.15,3656.8,0.07,0.216,0.01,0.1,0.07,0.242,0,0.4,0.07,0.232,-0.01,0.4,0.07,0.232,-0.01,0,0.07,0.23,0,0,0.07,0.224,0,0,0.07,0.224,-5.61E-04,0.5,0.07,0.237,5.92E-04,-0.9,0.07,0.221,0.01,0.5
0.08,0.228,0.01,-0.4,0.08,1.463,0,-7315.4,0.08,0.216,5.39E-04,-0.9,0.08,0.242,-6.05E-04,0.4,0.08,0.232,-5.79E-04,0.9,0.08,0.232,0,0.5,0.08,0.23,0,0,0.08,0.224,0,0,0.08,0.224,0.01,0.1,0.08,0.237,-0.01,0,0.08,0.221,0.01,-0.4
0.09,0.228,0,-0.4,0.09,0,-73.15,3660.3,0.09,0.216,-0.01,-0.1,0.09,0.242,0.01,0.5,0.09,0.232,0.01,0.5,0.09,0.232,0,0,0.09,0.23,0,0,0.09,0.224,0,0,0.09,0.224,5.61E-04,-0.9,0.09,0.237,0,0.5,0.09,0.221,0,-0.5
0.1,0.228,5.71E-04,-0.4,0.1,0,73.21,3657.7,0.1,0.216,-5.39E-04,0.9,0.1,0.242,0.01,-0.4,0.1,0.232,0.01,-0.4,0.1,0.232,-5.79E-04,0.5,0.1,0.23,0,0,0.1,0.224,0,0,0.1,0.224,-0.01,0,0.1,0.237,0,0,0.1,0.221,0,0
0.11,0.228,-0.01,-0.5,0.11,1.464,0,-7320.6,0.11,0.216,0.01,0.1,0.11,0.242,6.05E-04,-0.9,0.11,0.232,5.79E-04,-0.9,0.11,0.232,0.01,0.1,0.11,0.23,0,0,0.11,0.224,0,0,0.11,0.224,0,0.5,0.11,0.237,-5.92E-04,0.4,0.11,0.221,0,0
0.12,0.228,-0.01,0.4,0.12,0,-73.21,3671.7,0.12,0.216,5.39E-04,-0.9,0.12,0.242,-0.01,-0.5,0.12,0.232,-0.01,-0.5,0.12,0.232,5.79E-04,-0.9,0.12,0.23,0,0,0.12,0.224,0,0,0.12,0.224,0,0,0.12,0.237,0.01,0.5,0.12,0.221,5.52E-04,-0.5
0.13,0.228,-5.70E-04,0.9,0.13,0,73.43,3660.3,0.13,0.216,-0.01,0.4,0.13,0.242,-0.01,0.4,0.13,0.232,-0.01,0.4,0.13,0.232,-0.01,0,0.13,0.23,0,0,0.13,0.224,0,0,0.13,0.224,0,0,0.13,0.237,0.01,-0.4,0.13,0.221,-0.01,0.4
0.14,0.228,0.01,0.1,0.14,1.469,0,-7343.4,0.14,0.216,0.01,0.9,0.14,0.242,-6.05E-04,0.9,0.14,0.232,0,0.4,0.14,0.232,0,0.5,0.14,0.23,0,0,0.14,0.224,0,0,0.14,0.224,-5.61E-04,0.4,0.14,0.237,0,-0.5,0.14,0.221,0.01,1
0.15,0.228,5.70E-04,-0.9,0.15,0,-73.43,3662.1,0.15,0.216,0.01,-0.4,0.15,0.242,0.01,0.1,0.15,0.232,-5.79E-04,0.4,0.15,0.232,0,0,0.15,0.23,0,0,0.15,0.224,0,0,0.15,0.224,0.01,0.5,0.15,0.237,0,0,0.15,0.221,0.01,-0.9
0.16,0.228,-0.01,0,0.16,0,73.24,3671.7,0.16,0.216,0,-0.5,0.16,0.242,6.05E-04,-0.9,0.16,0.232,0.01,0.5,0.16,0.232,0,0,0.16,0.23,0,0,0.16,0.224,0,0,0.16,0.224,0.01,-0.9,0.16,0.237,0,0,0.16,0.221,-0.01,-0.5
0.17,0.228,0,0.5,0.17,1.465,0,-7324.1,0.17,0.216,0,0,0.17,0.242,-0.01,0,0.17,0.232,0.01,-0.9,0.17,0.232,-5.79E-04,0.5,0.17,0.23,0,0,0.17,0.224,0,0,0.17,0.224,-0.01,-0.9,0.17,0.237,0,0,0.17,0.221,0,0.5
0.18,0.228,0,0,0.18,0,-73.24,3658.6,0.18,0.216,0,0,0.18,0.242,0,0.5,0.18,0.232,-0.01,-0.9,0.18,0.232,0.01,0.1,0.18,0.23,0,0,0.18,0.224,0,0,0.18,0.224,-0.01,0.4,0.18,0.237,0,0,0.18,0.221,5.52E-04,-0.4
0.19,0.228,0,0,0.19,0,73.17,3662.1,0.19,0.216,0,0,0.19,0.242,0,0,0.19,0.232,-0.01,0.4,0.19,0.232,5.79E-04,-0.9,0.19,0.23,0,0,0.19,0.224,0,0,0.19,0.224,0,0.4,0.19,0.237,0,0,0.19,0.221,-0.01,-0.5
0.2,0.228,-5.70E-04,0.5,0.2,1.463,0,-7317.1,0.2,0.216,0,0,0.2,0.242,0,0,0.2,0.232,0,0.5,0.2,0.232,-0.01,0,0.2,0.23,0,0,0.2,0.224,0,0,0.2,0.224,-5.61E-04,0.5,0.2,0.237,0,0,0.2,0.221,-0.01,0.9
0.21,0.228,0.01,0.1,0.21,0,-73.17,3660.3,0.21,0.216,0,0,0.21,0.242,-6.05E-04,0.5,0.21,0.232,0,0,0.21,0.232,0,0.5,0.21,0.23,0,0,0.21,0.224,0,0,0.21,0.224,0.01,0.1,0.21,0.237,0,0,0.21,0.221,0.01,0.9
0.22,0.228,5.70E-04,-0.9,0.22,0,73.21,3658.6,0.22,0.216,0,0,0.22,0.242,0.01,0.1,0.22,0.232,-5.79E-04,0.4,0.22,0.232,0,0,0.22,0.23,0,0,0.22,0.224,0,0,0.22,0.224,5.61E-04,-0.9,0.22,0.237,0,0,0.22,0.221,0.01,-0.4
0.23,0.228,-0.01,0,0.23,1.464,0,-7320.6,0.23,0.216,0,0,0.23,0.242,6.05E-04,-0.9,0.23,0.232,0.01,0.5,0.23,0.232,0,0,0.23,0.23,0,0,0.23,0.224,-5.59E-04,0.4,0.23,0.224,-0.01,0,0.23,0.237,0,0,0.23,0.221,0,-0.4
0.24,0.228,0,0.5,0.24,0,-73.21,3660.3,0.24,0.216,0,0,0.24,0.242,-0.01,0,0.24,0.232,0.01,-0.4,0.24,0.232,-5.79E-04,0.5,0.24,0.23,0,0,0.24,0.224,0.01,0.5,0.24,0.224,0,0.5,0.24,0.237,0,0,0.24,0.221,5.52E-04,-0.4
0.25,0.228,0,0,0.25,0,73.21,3660.3,0.25,0.216,0,0,0.25,0.242,0,0.5,0.25,0.232,5.79E-04,-0.9,0.25,0.232,0.01,0.1,0.25,0.23,0,0,0.25,0.224,0.01,-0.4,0.25,0.224,0,0,0.25,0.237,-5.93E-04,0.5,0.25,0.221,-0.01,-0.5
0.26,0.228,0,0,0.26,1.464,0,-7320.6,0.26,0.216,0,0,0.26,0.242,0,0,0.26,0.232,-0.01,-0.5,0.26,0.232,5.79E-04,-0.9,0.26,0.23,0,0,0.26,0.224,0,-0.5,0.26,0.224,0,0,0.26,0.237,0.01,0.1,0.26,0.221,-0.01,0.9
0.27,0.228,-5.70E-04,0.5,0.27,0,-73.21,3658.6,0.27,0.216,0,0,0.27,0.242,0,0,0.27,0.232,-0.01,0.4,0.27,0.232,-0.01,0,0.27,0.23,5.76E-04,-0.4,0.27,0.224,0,0,0.27,0.224,-5.61E-04,0.4,0.27,0.237,5.93E-04,-0.9,0.27,0.221,0.01,0.9
0.28,0.228,0.01,0.1,0.28,0,73.17,3660.3,0.28,0.216,0,0,0.28,0.242,-6.05E-04,0.5,0.28,0.232,-5.79E-04,0.9,0.28,0.232,0,0.5,0.28,0.23,-0.01,-0.5,0.28,0.224,0,0,0.28,0.224,0.01,0.5,0.28,0.237,-0.01,0,0.28,0.221,0.01,-0.4
0.29,0.228,5.70E-04,-0.9,0.29,1.463,0,-7317.1,0.29,0.216,0,0,0.29,0.242,0.01,0.1,0.29,0.232,0.01,0.5,0.29,0.232,0,0,0.29,0.23,-0.01,0.4,0.29,0.224,-5.60E-04,0.4,0.29,0.224,0.01,-0.4,0.29,0.237,0,0.5,0.29,0.221,0,-0.4
0.3,0.228,-0.01,0,0.3,0,-73.17,3661.2,0.3,0.216,0,0,0.3,0.242,6.05E-04,-0.9,0.3,0.232,0.01,-0.4,0.3,0.232,0,0,0.3,0.23,-5.76E-04,0.9,0.3,0.224,0.01,0.5,0.3,0.224,5.61E-04,-0.9,0.3,0.237,0,0,0.3,0.221,5.52E-04,-0.5
0.31,0.228,0,0.5,0.31,0,73.22,3658.6,0.31,0.216,5.40E-04,-0.4,0.31,0.242,-0.01,0,0.31,0.232,0,-0.4,0.31,0.232,0,0,0.31,0.23,0.01,0.5,0.31,0.224,0.01,1.40E-13,0.31,0.224,-0.01,-0.5,0.31,0.237,-5.93E-04,0.5,0.31,0.221,-0.01,0
0.32,0.228,0,0,0.32,1.464,0,-7322.4,0.32,0.216,-0.01,-0.5,0.32,0.242,0,0.5,0.32,0.232,5.79E-04,-0.4,0.32,0.232,0,0,0.32,0.23,0.01,-1.40E-13,0.32,0.224,0.01,1.40E-13,0.32,0.224,-0.01,0.4,0.32,0.237,0.01,0.1,0.32,0.221,0,0.4
0.33,0.228,-5.70E-04,0.5,0.33,0,-73.22,3661.2,0.33,0.216,-0.01,0.9,0.33,0.242,0,0,0.33,0.232,-0.01,-0.5,0.33,0.232,0,0,0.33,0.23,0.01,0,0.33,0.224,0.01,0,0.33,0.224,0,0.4,0.33,0.237,5.93E-04,-0.9,0.33,0.221,-5.52E-04,0.4
0.34,0.228,0.01,0,0.34,0,73.22,3661.2,0.34,0.216,0.01,0.9,0.34,0.242,-6.05E-04,0.5,0.34,0.232,-0.01,0.4,0.34,0.232,0,0,0.34,0.231,0.01,-0.3,0.34,0.224,0.01,0.4,0.34,0.224,-5.61E-04,0.4,0.34,0.237,-0.01,0.4,0.34,0.221,0.01,0.5
0.35,0.228,0,-0.5,0.35,1.464,0,-7322.4,0.35,0.216,0.01,-0.4,0.35,0.242,0.01,0.1,0.35,0.232,-5.79E-04,0.9,0.35,0.232,0,0,0.35,0.231,0,-1.9,0.35,0.224,0.02,0.4,0.35,0.224,0.01,0.5,0.35,0.237,0.01,0.5,0.35,0.221,0.01,-0.9
0.36,0.228,-5.71E-04,0.5,0.36,0,-73.22,3662.1,0.36,0.216,5.40E-04,-0.9,0.36,0.242,6.05E-04,-0.9,0.36,0.232,0.01,0.5,0.36,0.232,0,0,0.36,0.231,-0.03,0.2,0.36,0.225,0.02,0.4,0.36,0.224,0.01,-0.4,0.36,0.237,5.93E-04,-0.9,0.36,0.221,-0.01,-0.5
0.37,0.228,0.01,2.90E-06,0.37,0,73.24,3661.2,0.37,0.216,-0.01,-0.5,0.37,0.242,-0.01,0,0.37,0.232,0.01,-0.9,0.37,0.232,0,0,0.37,0.23,0.01,4.1,0.37,0.225,0.03,0.9,0.37,0.224,5.61E-04,-0.9,0.37,0.237,-0.01,0,0.37,0.221,0,0.5
0.38,0.228,-5.71E-04,-0.1,0.38,1.465,0,-7324.1,0.38,0.216,-0.01,0.4,0.38,0.242,0,0.5,0.38,0.232,-0.01,-0.9,0.38,0.232,0,0,0.38,0.231,0.05,0.7,0.38,0.225,0.03,0,0.38,0.224,-0.01,-0.5,0.38,0.237,0,0.5,0.38,0.221,0,0
0.39,0.228,0.01,0.9,0.39,0,-73.24,3663.8,0.39,0.216,0,0.5,0.39,0.242,0,0,0.39,0.232,-0.01,0.5,0.39,0.232,0,0,0.39,0.231,0.02,-3.3,0.39,0.225,0.03,-0.5,0.39,0.224,-0.01,0.4,0.39,0.237,0,0,0.39,0.221,0,-0.1
0.4,0.228,0.02,0.9,0.4,0,73.28,3662.1,0.4,0.216,0,0,0.4,0.242,0,0,0.4,0.232,5.79E-04,0,0.4,0.232,0,0,0.4,0.231,-0.01,0.7,0.4,0.226,0.03,0.4,0.4,0.224,-5.61E-04,0.9,0.4,0.237,0,0,0.4,0.221,0,1.8
0.41,0.229,0.03,0.5,0.41,1.466,0,-7327.6,0.41,0.216,0,0,0.41,0.242,-6.05E-04,0.5,0.41,0.232,-0.01,-0.5,0.41,0.232,0,0,0.41,0.231,0.03,3.7,0.41,0.226,0.03,0.4,0.41,0.224,0.01,0.5,0.41,0.237,0,0,0.41,0.221,0.04,0.6
0.42,0.229,0.03,-0.8,0.42,0,-73.28,3674.3,0.42,0.216,0,0,0.42,0.242,0.01,0.1,0.42,0.231,-0.01,0.9,0.42,0.232,0,0,0.42,0.232,0.06,0.2,0.42,0.226,0.03,0.4,0.42,0.224,0.01,-0.4,0.42,0.237,0,0,0.42,0.222,0.01,-2.7
0.43,0.229,0.01,-1.3,0.43,0,73.49,3663.8,0.43,0.216,0,0,0.43,0.242,6.05E-04,-0.9,0.43,0.231,0.01,0.5,0.43,0.232,0,0,0.43,0.232,0.04,-3.2,0.43,0.227,0.04,1.3,0.43,0.224,0,-0.4,0.43,0.237,0,0,0.43,0.221,-0.02,-0.5
0.44,0.229,0,-0.5,0.44,1.47,0,-7348.6,0.44,0.216,0,0,0.44,0.242,-0.01,0,0.44,0.232,5.78E-04,-0.9,0.44,0.232,0,0,0.44,0.233,0,0.2,0.44,0.227,0.06,0.9,0.44,0.224,5.61E-04,-0.4,0.44,0.237,5.93E-04,-0.5,0.44,0.221,0,0.9
0.45,0.229,0,0,0.45,0,-73.49,3676.9,0.45,0.216,0,0,0.45,0.242,0,0.5,0.45,0.231,-0.01,0,0.45,0.232,0,0,0.45,0.232,0.04,4.5,0.45,0.228,0.06,-0.5,0.45,0.224,-0.01,-0.5,0.45,0.237,-0.01,-0.1,0.45,0.221,0,0
0.46,0.229,0,0,0.46,0,73.54,3674.3,0.46,0.216,0,0,0.46,0.242,0,0,0.46,0.231,0,0.5,0.46,0.232,0,0,0.46,0.233,0.09,1,0.46,0.228,0.05,-0.1,0.46,0.224,-0.01,0.4,0.46,0.237,-5.93E-04,0.9,0.46,0.221,0,0
0.47,0.229,0,0,0.47,1.471,0,-7353.9,0.47,0.216,0,0,0.47,0.242,0,0,0.47,0.231,0,0,0.47,0.232,5.79E-04,-0.4,0.47,0.234,0.06,-1.4,0.47,0.229,0.06,0.9,0.47,0.224,-5.61E-04,0.9,0.47,0.237,0.01,0,0.47,0.221,-5.53E-04,0.5
0.48,0.229,0,0,0.48,0,-73.54,3675.2,0.48,0.216,0,0,0.48,0.242,-6.05E-04,0.5,0.48,0.231,-5.78E-04,0.4,0.48,0.232,-0.01,-0.5,0.48,0.235,0.06,0.4,0.48,0.23,0.07,0.4,0.48,0.224,0.01,0.5,0.48,0.237,0,-0.4,0.48,0.221,0.01,-0.1
0.49,0.229,0,0,0.49,0,73.5,3676.9,0.49,0.216,0,0,0.49,0.242,0.01,0.1,0.49,0.231,0.01,0.5,0.49,0.232,-0.01,0.4,0.49,0.235,0.07,1.3,0.49,0.23,0.07,0.8,0.49,0.224,0.01,-0.4,0.49,0.237,5.93E-04,-0.5,0.49,0.221,0,0.9
0.5,0.229,0,0,0.5,1.47,0,-7350.4,0.5,0.216,0,0,0.5,0.242,6.05E-04,-0.9,0.5,0.232,0.01,1.40E-13,0.5,0.232,0,0.5,0.5,0.236,0.09,0.9,0.5,0.231,0.09,1.3,0.5,0.224,5.61E-04,-0.9,0.5,0.237,-0.01,-0.1,0.5,0.221,0.03,0.2
0.51,0.229,5.73E-04,-0.4,0.51,0,-73.5,3675.2,0.51,0.216,0,0,0.51,0.242,-0.01,0,0.51,0.232,0.01,6.90E-14,0.51,0.232,0,0,0.51,0.237,0.09,-0.4,0.51,0.232,0.09,0.4,0.51,0.224,-0.01,-0.1,0.51,0.237,-5.93E-04,0.9,0.51,0.222,0,-3.2
0.52,0.229,-0.01,-0.5,0.52,0,73.5,3675.2,0.52,0.216,0,0,0.52,0.242,0,0.5,0.52,0.232,0.01,0,0.52,0.232,0,0,0.52,0.238,0.08,-0.5,0.52,0.233,0.09,0.4,0.52,0.224,-5.61E-04,0.9,0.52,0.237,0.01,0,0.52,0.221,-0.04,-0.6
0.53,0.229,-0.01,1.3,0.53,1.47,0,-7350.4,0.53,0.216,0,0,0.53,0.242,0,0,0.53,0.232,0.01,0.5,0.53,0.232,0,0,0.53,0.238,0.08,0.4,0.53,0.234,0.1,0.9,0.53,0.224,0.01,0.4,0.53,0.237,0,-0.5,0.53,0.221,-0.01,2.7
