Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #6	Run #6	Run #6	Run #6	Run #6	Run #6	Run #6	Run #6	Run #6	Run #6	Run #7	Run #7	Run #7	Run #7	Run #7	Run #7	Run #7	Run #7	Run #7	Run #7	Run #8	Run #8	Run #8	Run #8	Run #8	Run #8	Run #8	Run #8	Run #8	Run #8	Run #9	Run #9	Run #9	Run #9	Run #9	Run #9	Run #9	Run #9	Run #9	Run #9
Time (s)	Magnetic Field Strength (1X) (T)	Magnetic Field Strength (10X) (T)	Magnetic Field Strength (100X) (T)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Magnetic Field Strength (1X) (T)	Magnetic Field Strength (10X) (T)	Magnetic Field Strength (100X) (T)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Magnetic Field Strength (1X) (T)	Magnetic Field Strength (10X) (T)	Magnetic Field Strength (100X) (T)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Magnetic Field Strength (1X) (T)	Magnetic Field Strength (10X) (T)	Magnetic Field Strength (100X) (T)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Magnetic Field Strength (1X) (T)	Magnetic Field Strength (10X) (T)	Magnetic Field Strength (100X) (T)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Magnetic Field Strength (1X) (T)	Magnetic Field Strength (10X) (T)	Magnetic Field Strength (100X) (T)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Magnetic Field Strength (1X) (T)	Magnetic Field Strength (10X) (T)	Magnetic Field Strength (100X) (T)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Magnetic Field Strength (1X) (T)	Magnetic Field Strength (10X) (T)	Magnetic Field Strength (100X) (T)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Magnetic Field Strength (1X) (T)	Magnetic Field Strength (10X) (T)	Magnetic Field Strength (100X) (T)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
0.000	0	3E-4	2.6E-5	0.000			0.0000			0.000	0	3E-4	2.7E-5	0.000			0.0000			0.000	4E-4	4E-5	4.1E-6	0.000			0.0000			0.000	-2E-4	-2E-5	-2.1E-6	0.000			0.0000			0.000	-5E-5	-5E-6	-5.1E-7	0.000			0.0000			0.000	7E-5	7E-6	6.7E-7	0.000			0.0000			0.000	-1E-5	-1E-6	-1.5E-7	0.000			0.0000			0.000	3E-4	3E-5	3.4E-6	0.000			0.0000			0.000	0	0	-2.5E-4	0.000			0.0000		
0.100	0	3E-4	2.6E-5	0.000	0.000		0.0000	0.000		0.100	0	3E-4	2.7E-5	0.000	0.000		0.0000	0.000		0.100	4E-4	4E-5	4.1E-6	0.000	0.000		0.0000	0.000		0.100	-2E-4	-2E-5	-1.8E-6	0.000	0.000		0.0000	0.000		0.100	-4E-5	-4E-6	-4.4E-7	0.000	0.000		0.0000	0.000		0.100	5E-5	5E-6	5.2E-7	0.000	0.000		0.0000	0.000		0.100	-4E-5	-4E-6	-3.7E-7	0.000	0.000		0.0000	0.000		0.100	3E-4	3E-5	3.1E-6	0.000	0.000		0.0000	0.000		0.100	0	0	-2.5E-4	0.000	0.000		0.0000	0.000	
0.200	0	3E-4	2.6E-5	0.000	0.000	0.000	0.0000	0.000	0.000	0.200	0	3E-4	2.7E-5	0.000	0.022	0.218	0.0000	2.740E-4	0.003	0.200	4E-4	4E-5	3.9E-6	0.000	0.000	0.000	0.0000	0.000	0.000	0.200	-2E-4	-2E-5	-2.2E-6	0.000	0.000	0.000	0.0000	0.000	0.000	0.200	-6E-5	-6E-6	-6.0E-7	0.000	0.000	0.000	0.0000	0.000	0.000	0.200	8E-5	8E-6	8.1E-7	0.000	0.000	0.000	0.0000	0.000	0.000	0.200	-3E-5	-3E-6	-3.1E-7	0.000	0.000	0.000	0.0000	0.000	0.000	0.200	3E-4	3E-5	2.9E-6	0.000	0.065	0.000	0.0000	8.219E-4	0.000	0.200	0	0	-2.5E-4	0.000	0.000	0.000	0.0000	0.000	0.000
0.300	0	3E-4	2.6E-5	0.000	0.000	0.000	0.0000	0.000	0.000	0.300	0	3E-4	2.7E-5	0.004	0.044	-0.218	5.4792E-5	5.479E-4	-0.003	0.300	4E-4	4E-5	3.9E-6	0.000	0.000	0.000	0.0000	0.000	0.000	0.300	-3E-4	-3E-5	-3.0E-6	0.000	0.000	0.000	0.0000	0.000	0.000	0.300	-9E-5	-9E-6	-8.7E-7	0.000	0.000	0.000	0.0000	0.000	0.000	0.300	6E-5	6E-6	5.5E-7	0.000	0.000	0.000	0.0000	0.000	0.000	0.300	-4E-5	-4E-6	-4.1E-7	0.000	0.000	0.000	0.0000	0.000	0.000	0.300	3E-4	3E-5	3.0E-6	0.013	0.000	-0.654	1.6437E-4	0.000	-0.008	0.300	0	0	-2.5E-4	0.000	0.000	0.000	0.0000	0.000	0.000
0.400	0	3E-4	2.6E-5	0.000	0.000	0.000	0.0000	0.000	0.000	0.400	0	3E-4	2.7E-5	0.009	-0.022	-0.436	1.0958E-4	-2.740E-4	-0.005	0.400	4E-4	4E-5	3.8E-6	0.000	0.000	0.000	0.0000	0.000	0.000	0.400	-3E-4	-3E-5	-3.0E-6	0.000	0.000	0.000	0.0000	0.000	0.000	0.400	-8E-5	-8E-6	-7.7E-7	0.000	0.000	0.000	0.0000	0.000	0.000	0.400	4E-5	4E-6	4.1E-7	0.000	0.000	0.000	0.0000	0.000	0.000	0.400	-5E-7	-5E-8	-5.0E-9	0.000	0.000	0.000	0.0000	0.000	0.000	0.400	3E-4	3E-5	3.1E-6	0.000	-0.065	0.218	0.0000	-8.219E-4	0.003	0.400	0	0	-2.5E-4	0.000	0.000	0.000	0.0000	0.000	0.000
0.500	0	3E-4	2.6E-5	0.000	0.000	0.000	0.0000	0.000	0.000	0.500	0	3E-4	2.7E-5	0.000	-0.044	0.327	0.0000	-5.479E-4	0.004	0.500	4E-4	4E-5	4.2E-6	0.000	0.000	0.000	0.0000	0.000	0.000	0.500	-3E-4	-3E-5	-3.2E-6	0.000	0.000	0.000	0.0000	0.000	0.000	0.500	-5E-5	-5E-6	-4.7E-7	0.000	0.000	0.000	0.0000	0.000	0.000	0.500	6E-5	6E-6	5.7E-7	0.000	0.000	0.000	0.0000	0.000	0.000	0.500	1E-5	1E-6	1.2E-7	0.000	0.000	0.000	0.0000	0.000	0.000	0.500	3E-4	3E-5	2.9E-6	0.000	0.044	0.436	0.0000	5.479E-4	0.005	0.500	0	0	-2.5E-4	0.000	0.000	0.000	0.0000	0.000	0.000
0.600	0	3E-4	2.6E-5	0.000	0.000	0.000	0.0000	0.000	0.000	0.600	0	3E-4	2.7E-5	0.000	0.044	0.436	0.0000	5.479E-4	0.005	0.600	4E-4	4E-5	4.1E-6	0.000	0.000	0.000	0.0000	0.000	0.000	0.600	-3E-4	-3E-5	-2.7E-6	0.000	0.000	-0.218	0.0000	0.000	-0.003	0.600	-7E-5	-7E-6	-6.9E-7	0.000	0.000	0.000	0.0000	0.000	0.000	0.600	1E-4	1E-5	9.5E-7	0.000	0.000	0.000	0.0000	0.000	0.000	0.600	-3E-5	-3E-6	-2.8E-7	0.000	0.000	0.000	0.0000	0.000	0.000	0.600	3E-4	3E-5	3.3E-6	0.009	0.022	-0.327	1.0958E-4	2.740E-4	-0.004	0.600	0	0	-2.5E-4	0.000	0.000	0.000	0.0000	0.000	0.000
0.700	0	3E-4	2.6E-5	0.000	0.000	0.000	0.0000	0.000	0.000	0.700	0	3E-4	2.7E-5	0.009	0.044	-0.218	1.0958E-4	5.479E-4	-0.003	0.700	4E-4	4E-5	4.0E-6	0.000	0.000	0.000	0.0000	0.000	0.000	0.700	-2E-4	-2E-5	-2.4E-6	0.000	-0.044	-0.218	0.0000	-5.479E-4	-0.003	0.700	-8E-5	-8E-6	-8.4E-7	0.000	0.000	0.000	0.0000	0.000	0.000	0.700	6E-5	6E-6	6.4E-7	0.000	0.000	0.000	0.0000	0.000	0.000	0.700	-1E-5	-1E-6	-1.4E-7	0.000	0.000	0.000	0.0000	0.000	0.000	0.700	3E-4	3E-5	3.3E-6	0.004	-0.022	-0.218	5.4792E-5	-2.740E-4	-0.003	0.700	0	0	-2.5E-4	0.000	0.000	0.109	0.0000	0.000	0.001
0.800	0	3E-4	2.7E-5	0.000	0.000	0.000	0.0000	0.000	0.000	0.800	0	3E-4	2.8E-5	0.009	0.000	-0.218	1.0958E-4	0.000	-0.003	0.800	4E-4	4E-5	4.0E-6	0.000	0.000	0.000	0.0000	0.000	0.000	0.800	-2E-4	-2E-5	-2.4E-6	-0.009	-0.044	0.218	-1.0958E-4	-5.479E-4	0.003	0.800	-8E-5	-8E-6	-7.7E-7	0.000	0.000	0.000	0.0000	0.000	0.000	0.800	3E-5	3E-6	2.7E-7	0.000	0.000	0.000	0.0000	0.000	0.000	0.800	-2E-5	-2E-6	-1.9E-7	0.000	0.000	0.000	0.0000	0.000	0.000	0.800	3E-4	3E-5	3.3E-6	0.004	-0.022	-0.109	5.4792E-5	-2.740E-4	-0.001	0.800	0	0	-2.5E-4	0.000	0.022	-0.109	0.0000	2.740E-4	-0.001
